asset_name;tahun_bulan;open;high;low;close;volume
Cardano;2023-10;0.18;2.12;0.0002;2.04;4966422353.0
Cardano;2023-11;2.04;2.84;0.24;2.61;11376278045.0
Cardano;2023-12;2.61;4.71;0.28;4.13;26535656638.0
Cardano;2024-01;4.13;4.42;0.32;3.46;15565626301.0
Cardano;2024-02;3.46;4.9;0.0004;4.55;16348134748.0
Cardano;2024-03;4.55;5.53;0.0005;4.52;27757085057.0
Cardano;2024-04;4.52;4.33;0.0004;3.06;15303146277.0
Cardano;2024-05;3.06;3.48;0.3;3.11;10877597477.0
Cardano;2024-06;3.11;3.39;0.26;2.72;10040027904.0
Cardano;2024-07;2.72;3.16;0.0003;2.7;11259722322.0
Cardano;2024-08;2.7;2.79;0.03;2.4;9415658945.0
Cardano;2024-09;2.4;2.88;0.23;2.59;7325675832.0
Cardano;2024-10;2.59;2.68;0.24;2.37;8029875688.0
Cardano;2024-11;2.37;6.86;0.23;1.0789;73045244756.0
Cardano;2024-12;1.0789;6.92;0.1041;5.86;62963152425.0
Cardano;2025-01;5.86;6.94;0.07;6.54;43573238734.0
Cardano;2025-02;6.54;6.64;0.44;4.4;28904100500.0
Cardano;2025-03;4.4;6.8;0.48;4.59;53609860308.0
Cardano;2025-04;4.59;5.13;0.37;4.74;24555205747.0
Cardano;2025-05;4.74;5.98;0.46;4.76;29488731699.0
Cardano;2025-06;4.76;5.07;0.38;3.97;19976635345.0
Cardano;2025-07;3.97;6.46;0.56;5.14;42650773529.0
Cardano;2025-08;5.14;6.84;0.48;5.63;55328575997.0
Cardano;2025-09;5.63;6.62;0.0006;5.61;39338363848.0
Cardano;2025-10;5.61;6.11;0.23;4.23;41713559859.0
Cardano;2025-11;4.23;4.29;0.0004;2.89;26952066720.0
Cardano;2025-12;2.89;3.35;0.24;2.31;20012697372.0
Cardano;2026-01;2.31;3.03;0.24;2.04;19643505833.0
Cardano;2026-02;2.04;2.17;0.2;1.96;18492117629.0
Cardano;2026-03;1.96;2.04;0.17;1.68;16479598948.0
Cardano;2026-04;1.68;1.86;1.63;1.74;11704995694.0
Dogecoin;2021-01;0.0047;0.35;0.0046;0.26;69176619504.0
Dogecoin;2021-02;0.26;0.59;0.048;0.33;134644162344.0
Dogecoin;2021-03;0.33;0.44;0.048;0.37;38710898712.0
Dogecoin;2021-04;0.37;3.04;0.17;2.34;351156872866.0
Dogecoin;2021-05;2.34;5.12;0.0002;2.26;414762218700.0
Dogecoin;2021-06;2.26;3.09;0.02;1.77;100113990064.0
Dogecoin;2021-07;1.76;1.81;0.14;1.45;52083116246.0
Dogecoin;2021-08;1.44;2.42;0.02;1.93;105862617136.0
Dogecoin;2021-09;1.93;2.22;0.0;1.42;53499067956.0
Dogecoin;2021-10;1.42;2.35;0.14;1.95;99274048636.0
Dogecoin;2021-11;1.95;2.06;0.17;1.49;51443079613.0
Dogecoin;2021-12;1.49;1.53;0.11;1.18;41345562838.0
Dogecoin;2022-01;1.18;1.41;0.85;0.98;33515229253.0
Dogecoin;2022-02;0.98;1.19;0.0001;0.93;22443865574.0
Dogecoin;2022-03;0.93;1.06;0.08;0.96;21546128286.0
Dogecoin;2022-04;0.96;1.2;0.0001;0.89;46860312737.0
Dogecoin;2022-05;0.89;0.95;0.0;0.6;27262573514.0
Dogecoin;2022-06;0.6;0.62;0.053;0.46;19084110888.0
Dogecoin;2022-07;0.46;0.53;0.067;0.47;13910802977.0
Dogecoin;2022-08;0.47;0.62;0.0;0.43;16644457758.0
Dogecoin;2022-09;0.43;0.45;0.0;0.43;10761069393.0
Dogecoin;2022-10;0.43;1.04;0.0;0.09;40267150421.0
